node_id,name,longitude,latitude,address
0,云南大学呈贡校区图书馆,102.8488,24.824424,云南大学呈贡校区内
1,云南大学呈贡校区泽湖,102.845091,24.830812,广田东路与庆来西路交叉口东北120米
2,云南大学呈贡校区游泳馆,102.859488,24.830819,兴园路与云南白药街辅路交叉口南120米
3,云南大学呈贡校区楠苑操场,102.848929,24.820168,云南大学呈贡校区
4,云南大学东门体育场,102.859714,24.828387,云南大学呈贡校区东门
5,云南大学呈贡校区法学院,102.846441,24.825183,云南大学呈贡校区
6,云南大学呈贡校区软件学院,102.854461,24.826389,吴家营街道庆来南路
7,云南大学呈贡校区学生会堂,102.847148,24.826258,雨苍西路与文华路交叉口西北160米
8,云南大学呈贡校区梓苑,102.842823,24.826968,文汇路与广田西路交叉口东南160米
9,余味堂(梓苑),102.843992,24.828446,云南大学呈贡校区新闻学院南门北310米
10,云南大学呈贡校区桦苑,102.845867,24.822476,文华路与庆来西路交叉口西南160米
11,云南大学呈贡校区楠苑,102.85196,24.822167,云南大学呈贡校区
12,楠苑综合楼,102.852645,24.823741,吴家营街道云南大学呈贡校区
13,菜鸟驿站(云南大学呈贡校区店),102.851074,24.824255,雨花路1076号
14,云南大学呈贡校区楸苑,102.854084,24.823841,学城步行街6栋
15,云南大学呈贡校区校医院,102.858755,24.827439,吴家营街道呈贡大学城
16,云南大学呈贡校区外国语学院,102.845139,24.828009,云南大学呈贡校区
17,云南大学呈贡校区信息学院,102.85089,24.824878,云南大学呈贡校区
18,云南大学呈贡校区天文系,102.855007,24.828432,云南大学呈贡校区
19,云南大学呈贡校区经济学院,102.850643,24.823657,文景路与庆来南路交叉口北100米
20,云南大学文典广场,102.845171,24.82587,云南大学呈贡校区
21,知味堂,102.852898,24.822697,昆明市呈贡区广田西路与博大路交叉口西北160米
22,云南大学呈贡校区格物楼,102.852173,24.824406,昆明市呈贡区大学城东外环南路
23,云南大学公安处,102.847282,24.831701,
24,云南大学呈贡校区明远楼,102.849144,24.828876,昆明市呈贡区大学城东外环南路
25,云南大学呈贡校区文汇楼,102.844696,24.827703,
26,云南大学呈贡校区新闻学院,102.8438,24.8278,
27,云南大学呈贡校区工商管理与旅游管理学院,102.8435,24.8252,
28,品味堂,102.857801,24.826165,
